source_url,destination_url,status_code
https://www.styly.fr/,https://www.styly.fr/,301
https://www.styly.fr/upload,https://www.styly.fr/upload/,301
https://www.styly.fr/pricing,https://www.styly.fr/pricing/,301
https://www.styly.fr/styly-pro,https://www.styly.fr/styly-pro/,301
https://www.styly.fr/services-api,https://www.styly.fr/services-api/,301
https://www.styly.fr/collaborateurs,https://www.styly.fr/collaborateurs/,301
https://www.styly.fr/get-started,https://www.styly.fr/get-started/,301
https://www.styly.fr/video,https://www.styly.fr/video/,301
https://www.styly.fr/conditions,https://www.styly.fr/conditions/,301
https://www.styly.fr/confidentialite,https://www.styly.fr/confidentialite/,301
https://www.styly.fr/blog,https://www.styly.fr/blog/,301
https://www.styly.fr/blog/science-couleur-design-comment-ia-aide-choisir-palette-parfaite,https://www.styly.fr/blog/science-couleur-design-comment-ia-aide-choisir-palette-parfaite/,301
https://www.styly.fr/blog/exploiter-ia-optimiser-planification-espace-petits-appartements,https://www.styly.fr/blog/exploiter-ia-optimiser-planification-espace-petits-appartements/,301
https://www.styly.fr/blog/besoin-salle-bain-luxueuse-budget-voici-comment,https://www.styly.fr/blog/besoin-salle-bain-luxueuse-budget-voici-comment/,301
https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025/,301
https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia/,301
https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables/,301
https://www.styly.fr/blog/tendances-design-interieur-2025,https://www.styly.fr/blog/tendances-design-interieur-2025/,301
https://www.styly.fr/blog/role-donnees-design-alimente-ia,https://www.styly.fr/blog/role-donnees-design-alimente-ia/,301
https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur/,301
https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly/,301
https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly/,301
https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs/,301
https://www.styly.fr/blog/impact-ia-role-designer-interieur,https://www.styly.fr/blog/impact-ia-role-designer-interieur/,301
https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design/,301
https://www.styly.fr/blog/comment-generation-images-ia-peut-inspirer-design-interieur-2024,https://www.styly.fr/blog/comment-generation-images-ia-peut-inspirer-design-interieur-2024/,301
https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt/,301
https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia/,301
https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles/,301
https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur/,301
